"variant","rate_tps","repeat","total_generated","committed","admission_rejected","queue_timeout","latency_ms","mvcc_invalid","queue_wait_ms","fabric_ms","hotkey_rejected","ttl_expired","succeeded_metrics"
"default","300","1","6000","3242","2758","0","691.442666666667","0","743.402220851326","172.095003084516","9","24","3242"
"default","300","2","6000","3817","2183","0","571.903","0","653.563531569295","160.290280324862","5","24","3817"
"default","300","3","6000","3962","2038","0","525.819833333333","0","580.526249369006","139.83720343261","11","25","3962"
"default","300","4","6000","3439","2561","0","677.636833333333","0","670.253852864205","169.078511195115","28","24","3439"
"default","300","5","6000","3429","2571","0","621.0705","0","664.704286964129","163.338582677165","16","32","3429"
"default","300","6","6000","3840","2158","0","723.270333333333","0","656.444010416667","165.191927083333","5","19","3840"
"default","300","7","6000","4020","1980","0","529.089666666667","0","591.560696517413","140.641542288557","11","17","4020"
"default","300","8","6000","3519","2481","0","784.6985","0","664.041204887752","156.705029838022","14","27","3519"
"default","300","9","6000","3829","2171","0","544.040166666667","0","604.91616610081","145.484460694698","3","18","3829"
"default","300","10","6000","3562","2438","0","684.0035","0","648.92195395845","160.665356541269","13","24","3562"
"default","500","1","10000","4093","5907","0","360.6534","0","594.729782555583","139.596872709504","82","26","4093"
"default","500","2","10000","3870","6130","0","491.189","0","629.825839793282","148.019121447028","58","28","3870"
"default","500","3","10000","3821","6179","0","498.7505","0","623.784087935095","152.182936404083","33","35","3821"
"default","500","4","10000","4158","5842","0","399.8104","0","588.78835978836","132.573833573834","73","10","4158"
"default","500","5","10000","4024","5976","0","367.9822","0","605.333996023857","143.032057654076","75","27","4024"
"default","500","6","10000","4095","5905","0","375.6031","0","586.656166056166","136.373382173382","104","16","4095"
"default","500","7","10000","4336","5664","0","505.0893","0","610.365774907749","143.581411439114","51","24","4336"
"default","500","8","10000","4042","5958","0","438.6206","0","623.575457694211","142.418852053439","85","22","4042"
"default","500","9","10000","4324","5676","0","344.3861","0","577.525208140611","134.907261794635","66","24","4324"
"default","500","10","10000","4379","5621","0","337.0724","0","566.445535510391","130.883535053665","93","20","4379"
"relaxed","300","1","6000","4368","1632","0","983.039833333333","0","1065.78869047619","150.004807692308","0","69","4368"
"relaxed","300","2","6000","4626","1373","0","967.293833333333","0","999.451578037181","137.159100734976","1","72","4626"
"relaxed","300","3","6000","3953","2047","0","1032.43516666667","0","1103.56640526183","161.606880849987","1","91","3953"
"relaxed","300","4","6000","4055","1944","0","1009.376","0","1093.56892725031","151.988162762022","0","98","4055"
"relaxed","300","5","6000","4087","1913","0","1048.49266666667","0","1066.95228774162","157.293124541228","1","87","4087"
"relaxed","300","6","6000","4091","1909","0","1064.19883333333","0","1007.91004644341","152.852114397458","0","151","4091"
"relaxed","300","7","6000","4611","1389","0","955.110666666667","0","1004.40555194101","139.989590110605","1","57","4611"
"relaxed","300","8","6000","4640","1350","0","948.785666666667","0","980.569827586207","133.992456896552","0","70","4640"
"relaxed","300","9","6000","3919","2081","0","1058.07716666667","0","1034.93850472059","159.858637407502","0","135","3919"
"relaxed","300","10","6000","4078","1922","0","1122.72166666667","0","1051.2361451692","153.285188818048","0","156","4078"
"relaxed","500","1","10000","3827","6173","0","889.1902","0","1134.56676247714","166.646459367651","0","142","3827"
"relaxed","500","2","10000","4227","5773","0","854.1063","0","1152.55571327182","165.104565885971","0","123","4227"
"relaxed","500","3","10000","4492","5508","0","815.6717","0","1100.1393588602","155.729741763134","0","141","4492"
"relaxed","500","4","10000","4439","5561","0","645.8527","0","1111.87384546069","152.934669970714","0","90","4439"
"relaxed","500","5","10000","4345","5655","0","612.6589","0","1057.61334867664","146.005293440736","2","89","4345"
"relaxed","500","6","10000","4427","5573","0","610.8151","0","1056.42715156991","145.139597921843","4","91","4427"
"relaxed","500","7","10000","3713","6287","0","1065.2051","0","1189.23673579316","168.280635604632","0","131","3713"
"relaxed","500","8","10000","4125","5875","0","678.6253","0","1093.14884848485","151.555878787879","3","113","4125"
"relaxed","500","9","10000","4010","5990","0","851.8459","0","1067.51246882793","159.012718204489","0","168","4010"
"relaxed","500","10","10000","4060","5940","0","880.2576","0","1127.98965517241","159.597536945813","0","103","4060"
"strict","300","1","6000","4255","1745","0","318.3035","0","300.529024676851","117.47732079906","74","3","4255"
"strict","300","2","6000","3865","2135","0","365.6485","0","328.665200517464","125.669598965071","103","1","3865"
"strict","300","3","6000","3846","2154","0","403.973","0","325.121424856994","127.067342693708","101","4","3846"
"strict","300","4","6000","3951","2049","0","368.809166666667","0","319.981776765376","121.805112629714","120","2","3951"
"strict","300","5","6000","4294","1706","0","309.034666666667","0","299.148812296227","110.618304611085","80","0","4294"
"strict","300","6","6000","4258","1742","0","309.853666666667","0","299.68788163457","112.972522310944","88","0","4258"
"strict","300","7","6000","3744","2256","0","412.051166666667","0","345.889423076923","131.601228632479","112","1","3744"
"strict","300","8","6000","3855","2145","0","327.735","0","335.203372243839","127.375875486381","107","2","3855"
"strict","300","9","6000","3796","2204","0","367.374333333333","0","343.291095890411","129.934404636459","104","3","3796"
"strict","300","10","6000","4263","1737","0","323.990833333333","0","307.879662209711","115.793572601454","98","8","4263"
"strict","500","1","10000","4147","5853","0","198.8739","0","328.429708222812","111.424644321196","400","1","4147"
"strict","500","2","10000","3698","6302","0","298.6446","0","368.968361276366","128.901297998918","450","0","3698"
"strict","500","3","10000","3691","6309","0","307.3344","0","364.860200487673","130.511785424004","439","0","3691"
"strict","500","4","10000","3958","6038","0","331.4136","0","364.896159676604","134.22738756948","392","2","3958"
"strict","500","5","10000","4195","5805","0","209.5426","0","327.598808104887","119.336114421931","336","11","4195"
"strict","500","6","10000","4156","5844","0","197.7254","0","327.602261790183","109.888594802695","377","0","4156"
"strict","500","7","10000","3663","6337","0","265.9572","0","374.902811902812","128.115479115479","361","5","3663"
"strict","500","8","10000","3606","6394","0","235.1327","0","380.442595673877","125.303383250139","376","1","3606"
"strict","500","9","10000","3974","6026","0","312.1387","0","371.442878711625","127.128334172119","438","2","3974"
"strict","500","10","10000","4170","5830","0","202.6471","0","324.550839328537","116.908153477218","387","4","4170"
