experiment,scenario,method,rate,hot,n,committed_mean,committed_sd,committed_ci95,admission_rejected_mean,admission_rejected_sd,admission_rejected_ci95,queue_timeout_mean,queue_timeout_sd,queue_timeout_ci95,client_error_mean,client_error_sd,client_error_ci95,completion_tps_mean,completion_tps_sd,completion_tps_ci95,latency_ms_mean,latency_ms_sd,latency_ms_ci95,latency_max_ms_mean,latency_max_ms_sd,latency_max_ms_ci95,mvcc_invalid_mean,mvcc_invalid_sd,mvcc_invalid_ci95,queue_wait_ms_mean,queue_wait_ms_sd,queue_wait_ms_ci95,fabric_ms_mean,fabric_ms_sd,fabric_ms_ci95,conflict_blocked_mean,conflict_blocked_sd,conflict_blocked_ci95,scd_selected_mean,scd_selected_sd,scd_selected_ci95,scd_edges_mean,scd_edges_sd,scd_edges_ci95,hot_key_rejected_mean,hot_key_rejected_sd,hot_key_rejected_ci95,ttl_expired_mean,ttl_expired_sd,ttl_expired_ci95
2,contention,pa-vscd,300,20,10,255.8,212.72872657709186,131.85063074723777,5744.1,212.6653343740922,131.81133985275233,0.0,0.0,0.0,0.1,0.31622776601683794,0.19599999999999998,235.26556032195836,10.869662729584995,6.737086758172969,591.6637333333333,39.94516864922233,24.75827203241444,8238.8,1102.414300020137,683.2834621879526,0.0,0.0,0.0,1971.322002959746,574.4834485744659,356.0685304104506,1249.2805513445442,588.0637816721612,364.48570806905803,96048.9,34290.33349194622,21253.3688900158,255.8,212.72872657709186,131.85063074723777,162.6,43.78025937692822,27.135285892071312,4137.5,175.4633548319674,108.75331404401227,474.7,69.97944142548026,43.37370716100814
2,contention,pa-vscd,300,50,10,3834.7,217.61640563156078,134.88004561090568,2164.9,217.24867983232693,134.65212679922865,0.0,0.0,0.0,0.4,1.2649110640673518,0.7839999999999999,220.2053441121465,10.527214625628739,6.524835224347023,573.4610333333334,26.59532907121423,16.483955737398574,8064.2,1220.4698366703792,756.4550418847697,0.0,0.0,0.0,663.0129536005765,41.04131892105598,25.437673009708625,105.61686823105298,5.764971541209583,3.5731663803896128,1200958.6,67564.46004487533,41876.88619376467,3834.7,217.61640563156078,134.88004561090568,2024.7,155.0756446240207,96.11688033962723,344.5,56.17482631135686,34.817518068415566,61.4,29.73288489945845,18.42863298722338
2,contention,pa-vscd,300,100,10,4541.8,255.92394703635426,158.62330576137498,1458.2,255.92394703635426,158.62330576137498,0.0,0.0,0.0,0.0,0.0,0.0,222.19551679069323,10.840357059342526,6.7189229155734616,595.4064500000001,58.54324082676248,36.28547659358436,8387.3,1298.3105303945329,804.7012037006862,0.0,0.0,0.0,511.9166962781636,23.39816982355556,14.502335905483706,128.21506963679585,6.279029128572149,3.8917825740027254,1111169.7,50037.01140833431,31013.260978200517,4541.8,255.92394703635426,158.62330576137498,2038.6,295.35522868422544,183.06306733048157,5.6,5.719362823873924,3.5448978045134734,17.2,5.028805910838963,3.1168861954770746
2,contention,pa-vscd,300,200,10,4520.7,202.41434402400108,125.45771020812815,1479.3,202.41434402400108,125.45771020812815,0.0,0.0,0.0,0.0,0.0,0.0,248.50094145567815,20.102561196256005,12.459696515885266,615.4817333333333,74.37434123618206,46.09769428506,5327.5,853.0887995982599,528.7499160094496,0.0,0.0,0.0,486.3825800453685,17.392967755457864,10.780273101914219,141.61073789822024,6.821212482341517,4.227831298241374,418109.8,19385.370685705813,12015.17723208413,4520.7,202.41434402400108,125.45771020812815,22398.8,1901.1241586668311,1178.328961407071,0.0,0.0,0.0,1.2,1.5491933384829668,0.9601999791710057
2,contention,pa-vscd,300,500,10,4598.6,276.276512051081,171.2379562493212,1401.4,276.276512051081,171.2379562493212,0.0,0.0,0.0,0.0,0.0,0.0,246.8835047710017,19.903826060214996,12.336519202410637,608.20485,48.57269483925329,30.105668165731934,5100.1,1180.1047458217897,731.436499376702,0.0,0.0,0.0,498.08410131328424,15.981405289980152,9.905377621613795,143.8760311451772,2.253927528443399,1.3969987554836774,249681.8,15326.992810796977,9499.768564776348,4598.6,276.276512051081,171.2379562493212,47222.9,2748.2223122916707,1703.3658365739022,0.0,0.0,0.0,0.3,0.9486832980505138,0.588
2,contention,traditional-lock,300,20,10,268.9,53.85463974647145,33.37945153666981,3908.7,133.0146608460887,82.44334093181813,1822.0,103.07494576493575,63.886513269842624,0.4,1.2649110640673518,0.7839999999999999,230.66356213128347,6.484948829719732,4.019412927065325,1895.2536833333334,88.23387070410492,54.68791964676413,7394.1,330.56465160220756,204.88609374858885,0.0,0.0,0.0,2400.9282060037576,220.7561599431334,136.82608549481478,922.2760599978416,168.35602919802815,104.34814797716564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,contention,traditional-lock,300,50,10,1318.9,52.201426119301466,32.35477911461544,3203.9,53.895887288982145,33.40501702838463,1477.1,63.58450195518472,39.4100826128994,0.1,0.31622776601683794,0.19599999999999998,219.77049061033517,9.933591480865237,6.1569037873350965,1908.8658333333333,58.911444752240634,36.513691750977834,7873.5,1003.1889430987343,621.7829488030548,0.0,0.0,0.0,2407.28620114347,48.46499132548178,30.038912836289764,442.5220569063692,21.136545628449145,13.100566706578972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,contention,traditional-lock,300,100,10,1868.1,95.51317535642225,59.19967941354637,3218.0,69.60683235941075,43.14276166918901,913.9,65.26092926773943,40.449143026219424,0.0,0.0,0.0,227.35863893633282,7.0347388901750705,4.360176336953591,1870.3801833333334,34.635184274804914,21.46710961965402,7511.0,448.6874685618537,278.09937421320774,0.0,0.0,0.0,2963.114746142939,102.3399204124963,63.430939836514,418.9302423231041,20.83254420992634,12.912144675265955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,contention,traditional-lock,300,200,10,1859.3,86.84475292791794,53.826935529012275,3467.3,76.90405277573694,47.665625741548105,673.4,88.70450320524257,54.9796206930855,0.0,0.0,0.0,224.8004733559298,5.988454275046513,3.7116824138922047,1876.8336833333333,44.37263859565995,27.502446335741006,7494.7,743.2998572432109,460.70202453984405,0.0,0.0,0.0,3675.202830744563,164.60852491168103,102.02542075628989,428.5390151222589,17.930785672427874,11.11361610039244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,contention,traditional-lock,300,500,10,1858.1,103.24237932597684,63.9902896661326,3554.3,122.7536376469372,76.08349286292146,587.6,73.82592137363858,45.75778013263609,0.0,0.0,0.0,223.30762333697817,7.602901599863217,4.712327232814352,1859.35175,66.30034965474199,41.093382456610414,7684.6,776.0435554786857,480.996778966346,0.0,0.0,0.0,3842.305366932218,136.8753571815344,84.83622531157582,430.93324717606447,20.92785071889784,12.971216261527042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ablation,pa-vscd,300,100,10,4643.3,502.26089944481157,311.30453069051924,1355.1,499.649532728247,309.68598883098053,0.0,0.0,0.0,1.6,4.718756898449704,2.9247158266516537,217.61529198766902,20.595891467761,12.765465786031614,568.8016666666666,76.32565810592445,47.30713301109883,8923.8,2036.2164150425879,1262.0600093892347,0.0,0.0,0.0,507.1519945123718,53.22007560311219,32.98614460582999,126.90549470238554,15.056253525948252,9.331962617503759,1142158.7,111117.52502448327,68871.35553947235,4643.3,502.26089944481157,311.30453069051924,2089.1,220.02244834965768,136.371326337728,4.0,2.748737083745107,1.7036848952262922,16.9,9.290975310602338,5.758606158515173
3,ablation,pa-vscd,500,100,10,3839.7,547.5880548165544,339.39859265340374,6160.3,547.5880548165544,339.39859265340374,0.0,0.0,0.0,0.0,0.0,0.0,375.86854291944206,16.984198257154354,10.526915141996106,625.58367,232.3938940738143,144.03922783947527,9220.6,2850.7507860990663,1766.9136430153505,0.0,0.0,0.0,641.2425280341757,77.83870406400652,48.24492861178083,154.3409108216827,25.192915469884877,15.614730781845752,1096125.4,154568.1923540545,95802.35816415175,3839.7,547.5880548165544,339.39859265340374,1768.5,245.7818590177522,152.3371744811124,73.1,19.133739833080202,11.859214813806181,42.9,18.35725711779646,11.377945840772643
3,ablation,pacc-dabs,300,100,10,5153.8,261.04865446885566,161.7996323357998,846.2,261.04865446885566,161.7996323357998,0.0,0.0,0.0,0.0,0.0,0.0,195.6635540344839,15.21937092320507,9.433063827764448,1628.9818,151.95541189227393,94.18294005624996,17361.5,2185.7380268966867,1354.7344645534372,0.0,0.0,0.0,1649.2500694053347,177.43632539772213,109.97617386988644,133.16707133670957,7.939639289784256,4.921039415352458,1662224.3,105905.8463605501,65641.12363732969,5153.8,261.04865446885566,161.7996323357998,10895.5,1185.2591137243649,734.6312097009402,0.0,0.0,0.0,0.0,0.0,0.0
3,ablation,pacc-dabs,500,100,10,5104.0,344.60218610256476,213.58664777243604,4894.3,343.80163854563966,213.0904632560234,0.0,0.0,0.0,1.7,2.8303906287138374,1.7542942867274134,246.16146558460233,33.58910527735221,20.81874313974848,1286.25385,135.09000751917014,83.72965412641062,23099.0,4569.273003200594,2832.0647484814167,0.0,0.0,0.0,2025.3885839868667,129.51400948855422,80.27361474136013,141.76982611284012,7.5267760432572395,4.665144123997851,1918004.3,150216.80931540253,93105.34301485465,5104.0,344.60218610256476,213.58664777243604,10096.1,1424.9665454162619,883.2034151192024,0.0,0.0,0.0,0.0,0.0,0.0
3,ablation,pacc-lpaac,300,100,10,3083.5,225.12478021458824,139.53378439169012,2916.5,225.12478021458824,139.53378439169012,0.0,0.0,0.0,0.0,0.0,0.0,271.8363869881009,17.92838920964699,11.112130757372219,98.04203333333334,79.15663626655571,49.06179145388144,2932.9,789.0084424277235,489.032499149994,0.0,0.0,0.0,0.1782552947593987,0.2611751830984683,0.1618780555929238,69.56243075553726,6.791166495211867,4.209208602481325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ablation,pacc-lpaac,500,100,10,4322.9,62.706458997458945,38.86586594944206,5677.1,62.706458997458945,38.86586594944206,0.0,0.0,0.0,0.0,0.0,0.0,453.66595174829035,0.716439730252055,0.4440539453512941,41.32392,0.8070905921890057,0.5002399316846267,2076.8,32.46810400651349,20.12393935369293,0.0,0.0,0.0,0.02820533941146291,0.0025211722756187643,0.0015626387658665185,76.27115605738992,1.6254933497356863,1.0074912160977996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ablation,traditional-lock,300,100,10,1890.0,89.5184648860533,55.484119369619826,3219.3,72.0602371476654,44.663397711225585,890.5,75.65014503915009,46.8884456745772,0.2,0.6324555320336759,0.39199999999999996,228.88697539992853,6.138949799956182,3.804960506622129,1865.4665666666667,45.144225201917905,27.98068066896052,7473.4,520.5693891201142,322.6522501572793,0.0,0.0,0.0,2971.5291372714537,90.36108979701113,56.0063837002572,414.4718898912623,20.05951319655708,12.43301508924375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ablation,traditional-lock,500,100,10,1814.7,67.59692629435487,41.89700898367064,7211.3,53.4562126105719,33.13250383938205,973.4,44.08375866209434,27.32339669790546,0.6,1.8973665961010275,1.176,372.83792555377977,13.009092169099489,8.063118862901284,1170.78488,12.22866662748731,7.579406100790944,7573.6,589.1563082540622,365.1628630600628,0.0,0.0,0.0,3067.090466611777,56.675792142938114,35.12801990772811,430.58890012608526,8.618038925294549,5.34151586571241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,default-policy,pa-vscd,300,100,10,4002.3,479.6021615186209,297.2604994232051,1997.4,479.2496913579253,297.04203615425655,0.0,0.0,0.0,0.3,0.9486832980505138,0.588,217.91479309521674,11.24902984892331,6.972220934804222,615.9798833333333,99.90456183655176,61.92148895274906,9019.3,1578.853384931961,978.5834664189072,0.0,0.0,0.0,582.7020262521102,72.53913752876588,44.960223242639216,148.78956298445425,21.32614679323766,13.218082726018485,1009971.3,71238.05417994264,44153.80342827106,4002.3,479.6021615186209,297.2604994232051,1749.1,384.02183097666034,238.01919679443225,7.9,4.629614814791111,2.8694649907837055,30.6,17.024165830437102,10.551687300564248
4,default-policy,pa-vscd,500,100,10,3553.2,339.13576435797313,210.19852447309583,6446.8,339.13576435797313,210.19852447309583,0.0,0.0,0.0,0.0,0.0,0.0,371.74205197163303,17.02090634934818,10.549667053254927,694.2393,413.5256415913394,256.3058480689734,9396.6,2467.3908036178173,1529.3046641683636,0.0,0.0,0.0,689.9970146404515,54.142940111168805,33.558141953999176,167.87539090389322,18.411568101999823,11.411608137534062,974467.4,117605.31278645535,72892.52805497758,3553.2,339.13576435797313,210.19852447309583,1706.8,142.1734464971884,88.12001509053181,82.1,28.42709974654467,17.619298964487776,37.9,14.60935773171885,9.05497373454685
4,default-policy,traditional-lock,300,100,10,1744.9,116.46787826120413,72.18753883231278,3297.6,129.0083545959546,79.9602065919181,957.4,75.20963295276005,46.615413454731424,0.1,0.31622776601683794,0.19599999999999998,226.03468514110725,8.623249410047256,5.344745357620709,1868.1462666666666,61.463114955040645,38.09523332795046,7937.5,735.3829312375665,455.79506296385233,0.0,0.0,0.0,3004.452629629735,148.32062972557927,91.93007872896786,447.47462615361906,21.137987103888282,13.10146014231243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
